"Gene_Symbol"	"N"	"Beta"	"SE"	"tval"	"df"	"pval"	"ci.lb"	"ci.ub"	"adjP"
"GINS1"	70	-0.791261123864019	0.116051304899529	-6.8182010064346	69	2.8357668244959e-09	-1.02277714249055	-0.559745105237491	5.54211274898396e-08
"GINS2"	70	-0.887215788116586	0.12060066279317	-7.35664106289499	69	2.99142440239964e-10	-1.12780752741471	-0.646624048818457	8.0431243750338e-09
"GINS3"	70	-0.766294817018613	0.0945308707390803	-8.10629174392887	69	1.27760294424042e-11	-0.954878744185637	-0.57771088985159	5.63415278511749e-10
"GINS4"	70	-0.758574907438819	0.127331230736752	-5.95749293436985	69	9.68719713682772e-08	-1.01259376239706	-0.504556052480573	1.18196593448357e-06
"GIPC1"	69	-0.238653337913502	0.0489702819502427	-4.8734319756621	68	6.8853614358447e-06	-0.336372014108571	-0.140934661718433	5.05732077383798e-05
"GIPR"	48	0.714497156441213	0.128216524830385	5.57258245289683	47	1.18640716681305e-06	0.456558778910289	0.972435533972137	1.06762205980719e-05
"GIT1"	70	-0.040249932898603	0.0461170956159181	-0.872776838199457	69	0.385811899058463	-0.132251021355641	0.0517511555584349	0.539592291604139
"GIT2"	70	-0.0161997015649564	0.0413132154373491	-0.392119117175059	69	0.696178768484566	-0.0986173112850336	0.0662179081551209	0.796546007248396
"GJA3"	33	0.666609653649239	0.171656395337206	3.88339538611268	32	0.000485440768546122	0.316957018368715	1.01626228892976	0.002160089694662
"GJB2"	24	0.661156088442181	0.28553472402704	2.31550152330884	23	0.0298546899100365	0.0704825085447421	1.25182966833962	0.0748036520483936
"GJB3"	23	0.861201750338729	0.213514374724249	4.03346028318214	22	0.000555893499208974	0.41840003898774	1.30400346168972	0.00242924144985293
"GJB4"	7	1.38211532705892	0.499917140337415	2.76468881648281	6	0.0326509145259279	0.158862151776794	2.60536850234104	0.0806798023854442
"GJB5"	14	0.464055572502175	0.164033880680841	2.82902270296879	13	0.0142171848735601	0.109681918081327	0.818429226923022	0.0402347918068526
"GJC1"	69	-0.0440636619535987	0.0595094327075131	-0.740448361693687	68	0.461577061068419	-0.162812886048456	0.0746855621412586	0.607998953005919
"GK"	69	-0.410852509582639	0.0895245245995527	-4.58927329042406	68	1.97185218193716e-05	-0.589495917022073	-0.232209102143204	0.000128118409782455
"GK5"	70	-0.183348097075998	0.0473142272286793	-3.87511553744371	69	0.000239825453128831	-0.277737397755194	-0.0889587963968019	0.00116109394191832
"GKAP1"	66	0.150261762919422	0.0914364717028363	1.64334603163347	65	0.105140423577963	-0.0323494809279247	0.332873006766769	0.205771475831028
"GLA"	70	-0.374547588691886	0.0605846632771165	-6.18221788208497	69	3.89319381713092e-08	-0.495410684922385	-0.253684492461387	5.43821317705277e-07
"GLB1"	70	0.126051203109405	0.0408213338134857	3.08787566044112	69	0.00290307050186629	0.0446148703796292	0.20748753583918	0.0102836010655379
"GLB1L"	67	-0.0467856020898299	0.0668459196185852	-0.699902138481795	66	0.4864481596769	-0.180247786752443	0.0866765825727836	0.629544520300642
"GLB1L2"	49	-0.156803294633814	0.0687546086921692	-2.28062231196543	48	0.0270511605588529	-0.295043700617142	-0.0185628886504851	0.0691300510963681
"GLCCI1"	66	0.144196567252604	0.0640481417320744	2.25137784411929	65	0.0277486237766057	0.0162835954374146	0.272109539067794	0.0705305342743974
"GLCE"	69	0.266918921392579	0.0843310565060123	3.16513195080805	68	0.00231954920776209	0.0986389181801764	0.435198924604981	0.00845419660311841
"GLDC"	43	-0.411477180575853	0.101773836118615	-4.04305464221948	42	0.000220520523563055	-0.616865097072474	-0.206089264079233	0.00107862982440478
"GLDN"	18	0.116485346667766	0.395652226750514	0.294413474238369	17	0.772006693058987	-0.718267884734909	0.951238578070441	0.852033906924481
"GLE1"	70	-0.105698397797318	0.0403671413525875	-2.61842662759034	69	0.0108500369491745	-0.186228641359648	-0.0251681542349879	0.0318648907197919
"GLG1"	70	0.32442207635297	0.0461170625655025	7.03475152807437	69	1.15062991887111e-09	0.232421053829707	0.416423098876233	2.5096630147885e-08
"GLI1"	40	-0.0678629639804705	0.210913725180855	-0.321756983440879	39	0.749355082106964	-0.494476240814915	0.358750312853974	0.835202212405621
"GLI4"	56	0.158490891458875	0.0672828601564133	2.35559087545371	55	0.0220864715008114	0.0236530265576417	0.293328756360108	0.0582200963554366
"GLIDR"	68	-0.148144577899711	0.0772514343643244	-1.91769355635584	67	0.0594139124254561	-0.30233908625134	0.00604993045191723	0.13107104976842
"GLIPR2"	66	-0.0732830453569765	0.0853080888105121	-0.859039821179843	65	0.393475548302503	-0.243655063412922	0.097088972698969	0.54700893785699
